Location,Category of Production,21-Jan,21-Feb,21-Mar,21-Apr,21-May,21-Jun,21-Jul,21-Aug,21-Sep,21-Oct,21-Nov,21-Dec
"Georgia","Utility-scale photovoltaic",250.01,254.14,395.02,481.3,578.09,456.69,468.81,428.25,458.77,405.94,388.17,303.17
"Georgia","All utility-scale solar",250.01,254.14,395.02,481.3,578.09,456.69,468.81,428.25,458.77,405.94,388.17,303.17
"Georgia","All solar",274.01,278.88,426.8,515.79,615.78,492.55,505.45,463.56,489.43,435.79,414.67,327.91
"Hawaii","All fuels",761.08,654.23,729.89,699.07,764.04,779.42,812.65,827.36,790.52,795.28,787.3,780.98
"Hawaii","Other renewables",134.23,108.84,129.14,126.81,133.84,141.74,149.81,150.3,151.82,148.6,117.04,138.99
"Hawaii","Geothermal",15.21,14.73,14.4,14.79,15.17,14.74,15.74,15.59,15.56,15.05,15.59,16.81
"Hawaii","Conventional hydroelectric",10.25,9.36,14.19,9.11,8.74,7.58,8.48,8.9,7.82,10.02,7.35,13.19
"Hawaii","Utility-scale photovoltaic",35.58,32.33,35.51,44.08,50.07,53.41,46.98,48.67,46.62,44.23,39.39,30.35
"Hawaii","All utility-scale solar",35.58,32.33,35.51,44.08,50.07,53.41,46.98,48.67,46.62,44.23,39.39,30.35
"Hawaii","All solar",125.25,120.42,142.82,156.6,169.64,172.07,167.09,165.3,152.66,140.74,127.72,117.72
"Hawaii","Wind",56.38,43.5,54.12,43.04,50.48,52.62,61.06,62.87,64.24,64.93,36.95,67.71
"Idaho","All fuels",1412.22,1401.07,1599.75,1502.08,1588.6,1472.96,1605.13,1522.14,1252.45,1103.87,1172.25,1203.95
"Idaho","Other renewables",325.89,398.79,358.06,362.1,381.63,328.44,242.73,309.06,258.12,298.6,276.52,287.68
"Idaho","Geothermal",8.38,7.35,6.52,7.48,8.27,7.18,7.09,7.2,7.47,8.17,8.4,9.41
"Idaho","Conventional hydroelectric",673.42,611.8,794.49,802.32,820.35,758.06,759.37,719.98,570.71,484.59,500.42,499.71
"Idaho","Utility-scale photovoltaic",21.11,28.75,55.66,63.5,71.71,78.4,65.95,57.14,54.74,31.74,22.64,13.53
"Idaho","All utility-scale solar",21.11,28.75,55.66,63.5,71.71,78.4,65.95,57.14,54.74,31.74,22.64,13.53
"Idaho","All solar",25.33,34.54,64.69,74.22,83.83,90.91,79.53,70.53,67.05,43.43,30.73,19.32
"Idaho","Wind",254.1,326.19,252.18,264.29,266.39,195.93,122.14,197.13,157.73,215.81,204.87,223.45
"Illinois","All fuels",16173.7,14677.68,13298.6,13200.27,14904.09,15909.56,16836.75,17460.42,14646.09,13516.73,14878.09,16022.49
